Seconds,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
158,-98,,-100,-84.8
159,-98,,-100,-84.25
160,-98,,-100,-84.2
161,-98,,-100,-84.3
162,-98,,-99.55,-97
163,-98,,-97,-94.2
164,-98,,-97,-85.55
165,-98,,-97,-84.25
166,-98,,-97,-90.05
167,-98,,-97,-91.1
168,-98,,-97,-91.35
169,-98,,-97,-90.7
170,-98,,-97,-91.15
171,-94.2,,-97,-91.6
172,-94,,-97,-102.45
173,-94,,-97,-102.55
174,-94,,-97,-94.5
175,-94,,-97,-93.4
176,-94,,-97.75,-89.2
177,-94,,-101.35,-89.35
178,-94,,-102.05,-89.25
179,-94,,-102.3,-89.2
180,-94,,-102.15,-88.5
181,-94,,-101,-90.05
182,-94,,-101,-85.35
183,-94,,-101,-88.05
184,-94,,-101,-88.9
185,-94,,-101,-93.45
186,-94,,-101,-99
187,-94,,-101,-97.75
188,-94,,-101,-95.15
189,-94,,-101,-95.35
190,-94,,-101,-95
191,-94,,-101,-99.6
192,-94,,-101,-97.2
193,-94,,-101,-88.45
194,-94,,-101,-92.05
195,-94,,-101,-83.65
196,-94,,-101,-87.8
197,-94,,-101,-84.8
198,-94,,-101,-80.8
199,-94,,-101,-79.4
200,-94,,-101,-78.8
201,-94,,-101,-89.8
202,-94,,-101,-89.4
203,-94,,-101,-88
204,-94,,-101,-85.8
205,-94,,-101,-88.2
206,-94,,-101,-87.8
207,-94,,-101,-82.6
208,-94,,-101,-81.4
209,-94,,-101,-80
210,-94,,-101,-80
211,-94,,-101,-84.8
212,-94,,-101,-99
213,-94,,-101,-90.8
214,-94,,-101,-90.8
215,-94,,-101,-90
216,-94,,-101,-90.2
217,-94,,-100,-95.2
218,-94,,-99.6,-95.8
219,-94,,-100,-97.6
220,-94,,-100,-97.2
221,-94,,-100,-97.2
222,-94,,-99.2,-92
223,-94,,-99,-92.2
224,-94,,-99,-96
225,-94,,-100,-94.6
226,-94,,-101,-95.4
227,-94,,-101,-96
228,-94,,-101,-95.8
229,-94,,-100.4,-92.8
230,-98,,-98,-94.4
231,-104,,-98.4,-91.2
232,-104,,-98,-89.6
233,-104,,-97.8,-90.4
234,-104,,-98,-89
235,-104,,-102,-90.8
236,-104,,-102,-88.2
237,-104,,-102,-94.2
238,-104,,-102,-97
239,-104,,-102,-94.8
240,-104,,-102,-93.2
241,-104,,-102,-94
242,-104,,-102,-93.8
243,-104,,-102,-86.8
244,-104,,-103,-86.25
245,-104,,-103,-87.2
246,-104,,-103,-83.9
247,-104,,-103,-87.4
248,-104,,-103,-82.3
249,-104,,-103,-85.2
250,-104,,-103,-84.15
251,-104,,-103,-85.45
252,-104,,-103,-91.35
253,-104,,-103,-91.65
254,-104,,-103,-92
255,-104,,-103,-92.5
256,-104,,-103,-92.3
257,-104,,-103,-88.6
258,-104,,-103,-84.8
259,-104,,-103,-81.35
260,-103,,-103,-81.8
261,-102.55,,-103,-81.2
262,-103,,-103,-82.9
263,-103,,-102.7,-91.55
264,-103,,-97,-96.85
265,-103,,-97,-90.15
266,-103,,-97.1,-92.9
267,-102.4,,-99.75,-95.65
268,-103,,-98,-96.35
269,-103,,-98,-96.05
270,-103,,-98,-97.8
271,-103,,-98,-96.15
272,-103,,-98.15,-95.8
273,-103,,-97,-92.95
274,-103,,-97.75,-92.75
275,-103,,-100,-91.65
276,-103,,-99.75,-94.35
277,-103,,-99,-88.6
278,-103,,-100.65,-91.5
279,-101.05,,-98.55,-88.25
280,-99.95,,-100.85,-93
281,-99,,-101.1,-91.15
282,-99,,-102,-87.8
283,-99,,-102,-88
284,-99,,-100.3,-88.2
285,-99,,-100.9,-88.55
286,-99,,-102,-90.9
287,-99,,-102,-93.85
288,-99,,-102,-92.6
289,-99,,-102,-96.55
290,-99,,-102,-98.65
291,-99,,-102,-97.55
292,-99,,-102,-93.9
293,-99,,-101.95,-85.95
294,-99,,-101,-90.6
295,-99,,-101,-88.7
296,-99,,-101,-86.4
297,-99,,-101,-86.25
298,-99,,-101,-80.75
299,-99,,-101,-79.35
300,-99,,-101,-80.6
301,-99,,-101,-79.85
302,-99,,-101,-81.1
303,-101.6,,-101,-89.9
304,-103,,-101,-94.05
305,-103,,-101,-90
306,-103,,-101,-89.15
307,-103,,-101,-88.2
308,-103,,-101,-88.5
309,-103,,-101,-80.4
310,-103,,-101,-82.25
311,-103,,-101,-82.55
312,-103,,-101,-82.6
313,-103,,-101,-82
314,-103,,-101,-92.5
315,-101.05,,-101,-98.7
316,-100,,-101,-89.85
317,-100,,-101,-92.8
318,-100,,-101,-94.5
319,-100,,-101,-89.6
320,-100,,-100.8,-86.1
321,-100,,-99.7,-93.2
322,-100,,-100,-90.8
323,-100,,-101.5,-92.8
324,-100,,-103,-93.2
325,-100,,-103,-95.3
326,-100,,-103,-97.3
327,-100,,-103,-93.8
328,-100,,-103,-91.7
329,-100,,-103,-92.3
330,-100,,-103,-89.1
331,-100,,-102.9,-89.7
332,-100,,-104,-90.8
333,-100,,-104,-90.6
334,-100,,-104,-94.3
335,-100,,-101.6,-96.1
336,-100,,-98,-91.2
337,-100,,-98,-95.1
338,-100,,-98,-90.3
339,-100,,-98,-90.8
340,-100,,-98,-89.7
341,-100,,-98,-88.7
342,-100,,-98,-89.7
343,-100,,-98,-92.5
344,-100,,-98,-90
345,-100,,-98,-90
346,-100,,-98,-90
347,-100,,-98,-91
348,-100,,-98,-92.6
349,-100,,-98,-87.4
350,-100,,-98,-85.2
351,-100,,-98,-87.1
352,-100,,-98,-87.5
353,-100,,-98,-87.6
354,-100,,-98,-86.5
355,-100,,-98,-83.7
356,-100,,-98,-83.6
357,-100,,-98,-83.3
358,-100,,-98,-83.8
359,-100,,-98,-85.7
360,-100,,-98,-92.4
361,-100,,-98,-89.3
362,-100,,-98,-86
363,-100,,-98,-85.45
364,-100,,-98,-87.4
365,-100,,-98,-82.5
366,-100,,-98,-80
367,-100,,-98,-79.55
368,-100,,-98,-79.05
369,-100,,-98,-79.15
370,-100.35,,-98,-86.5
371,-101,,-98.3,-93.75
372,-101,,-100.6,-91.25
373,-101,,-104,-92.85
374,-101,,-104,-94.05
375,-101,,-101.5,-92.4
376,-101,,-101.5,-90
377,-101,,-100,-88
378,-101,,-99.8,-88.2
379,-101,,-100,-87.8
380,-101,,-98.7,-89.7
381,-101,,-98.3,-94.2
382,-101,,-97.6,-86.75
383,-101,,-96.2,-90.4
384,-101,,-96,-93
385,-101,,-96,-96.7
386,-101,,-97.1,-92.95
387,-101,,-98,-89.45
388,-101,,-98,-90.5
389,-101,,-98,-93.1
390,-101,,-98,-90.85
391,-101,,-98,-88.5
392,-101,,-98,-84.25
393,-101,,-98,-88.7
394,-101,,-98,-91.7
395,-101,,-98,-96.6
396,-101,,-98,-97.6
397,-101.35,,-98,-89.4
398,-102,,-96.95,-82.45
399,-103.1,,-94.75,-82.8
400,-87.65,,-87.6,-84.5
401,-89.15,,-87.65,-80.4
402,-97.1,,-94.25,-90.85
403,-98.7,,-89.05,-97.55
404,-74.6,,-77.6,-95
405,-72.15,,-75.2,-89.1
406,-71.95,,-72.85,-91
407,-76.25,,-76.8,-96
408,-73.1,,-76.25,-98.1
409,-69.2,,-74.75,-98.6
410,-70.65,,-79.35,-94.4
411,-78.1,,-76.75,-88.3
412,-75.35,,-78.2,-90.75
413,-71.6,,-81.9,-96.3
414,-63.8,,-93.7,-99.4
415,-64.6,,-98,-99.25
416,-70.6,,-98,-98.55
417,-70.9,,-98,-95
418,-68.95,,-98,-95
419,-70.05,,-98,-95
420,-75.2,,-98,-95
421,-70.65,,-98,-95
422,-71.05,,-98,-95
423,-69.25,,-98,-95
424,-72.7,,-98,-95
425,-69.25,,-98,-95
426,-69.95,,-98,-95
427,-69.65,,-98,-95
428,-69.75,,-98,-95
429,-70.4,,-98,-95
430,-69.7,,-98,-95
431,-66.35,,-98,-95
432,-72.55,,-98,-95
433,-66.65,,-98,-95
434,-62.6,,-101.65,-95
435,-62.85,,-102.15,-95
436,-67.05,,-102,-95
437,-69.45,,-102,-95
438,-67.85,,-98.2,-95
439,-67.2,,-99.25,-95
440,-68.15,,-105,-95
441,-60.15,,-104.05,-95
442,-61,,-104,-95
443,-62,,-104,-101.65
444,-60.85,,-104,-102
445,-58.55,,-104,-102.3
446,-61.1,,-104,-104
447,-62,,-104,-104
448,-59.85,,-104,-104
449,-67.9,,-99.5,-104
450,-66.05,,-98,-104
451,-69.75,,-98,-104
452,-70,,-98,-104
453,-72.05,,-98,-104
454,-69.2,,-98,-103.3
455,-74.35,,-98,-102
456,-75.25,,-98,-102
457,-72.5,,-98,-102
458,-72.9,,-98,-102
459,-74.55,,-98,-102
460,-74.8,,-98,-102
461,-70.8,,-98,-102
462,-69.45,,-98,-102
463,-68.65,,-98,-102
464,-70.85,,-98,-102
465,-73.4,,-98,-102
466,-74.15,,-98,-102
467,-73.05,,-98,-102
468,-73.85,,-98,-102
469,-69.85,,-98,-102
470,-72.85,,-98,-102
471,-73.8,,-98,-102
472,-75.7,,-98,-102
473,-73.5,,-98,-102
474,-72.45,,-98,-102
475,-69.75,,-98,-102
476,-75.25,,-98,-102
477,-72.7,,-98,-102
478,-70.3,,-98,-102
479,-70.35,,-98,-102
480,-71.45,,-98,-102
481,-69.95,,-98,-102
482,-71.3,,-98,-102
483,-77.6,,-98,-102
484,-71.4,,-98,-102
485,-71.4,,-98,-102
486,-67.6,,-98,-102
487,-66.7,,-98,-102
488,-68,,-98,-102
489,-65.75,,-98,-102
490,-62.2,,-98,-102
491,-62.25,,-98,-102
492,-65,,-98,-102
493,-67.95,,-98,-102
494,-63.3,,-98,-102.45
495,-59.9,,-98,-98.75
496,-64,,-98,-98
497,-66.85,,-98,-98
498,-67.25,,-98,-98
499,-66.7,,-98,-98
500,-64.45,,-98,-98
501,-64.4,,-98,-98
502,-65.85,,-98,-98
503,-67.35,,-98,-98
504,-66.45,,-98,-98
505,-65.25,,-98,-98
506,-68.7,,-98,-98
507,-70.15,,-98,-98
508,-74.8,,-98,-98
509,-74.75,,-98,-99.75
510,-73.45,,-98,-103
511,-74.25,,-98,-103
512,-73.7,,-98,-103
513,-73.3,,-98,-103
514,-71.9,,-98,-103
515,-73.45,,-98,-103
516,-73.2,,-98,-104.6
517,-69,,-98,-105
518,-70.4,,-98,-105
519,-71.4,,-98,-105
520,-73.6,,-98,-105
521,-73.2,,-98,-105
522,-72.8,,-98,-105
523,-73,,-98,-105
524,-73.9,,-98,-105
525,-73.7,,-98,-105
526,-74.5,,-98,-105
527,-73.15,,-98,-105
528,-69.6,,-98,-105
529,-70.95,,-98,-105
530,-72.6,,-98,-105
531,-72.45,,-98,-105
532,-71.8,,-98,-105
533,-73.5,,-98,-105
534,-71.6,,-98,-105
535,-73.7,,-98,-105
536,-72.2,,-98,-105
537,-71.15,,-98,-105
538,-68.45,,-98,-105
539,-71.25,,-98,-105
540,-71.7,,-98,-105
541,-72.75,,-98,-105
542,-72.05,,-98,-105
543,-67.1,,-98,-105
544,-70.75,,-98,-97.9
545,-70.65,,-98,-101.65
546,-70.55,,-98,-104
547,-68.9,,-98,-103
548,-62.65,,-98,-101.7
549,-69.3,,-98,-102.4
550,-72.7,,-98,-102
551,-71.8,,-98,-102.05
552,-70.45,,-98,-103
553,-69.7,,-98,-103
554,-71.3,,-98,-103
555,-70,,-98,-103
556,-72.2,,-98,-103
557,-74,,-98,-103
558,-71.4,,-98,-103
559,-74.3,,-98,-103
560,-72.7,,-98,-103
561,-71.3,,-98,-103
562,-72.7,,-98,-103
563,-75,,-98,-103
564,-75,,-98,-103
565,-75,,-98,-103
566,-75,,-98,-103
567,-72.6,,-98,-103
568,-72.5,,-98,-103
569,-73.5,,-98,-103
570,-76.5,,-98,-103
571,-73.7,,-98,-103
572,-71.8,,-98,-103
573,-74.2,,-98,-103
574,-74.9,,-98,-103
575,-75.1,,-98,-103
576,-74.7,,-98,-103
577,-74.2,,-98,-103
578,-73.2,,-98,-103
579,-73.5,,-98,-103
580,-73.4,,-98,-103
581,-70,,-98,-103
582,-72.2,,-98,-103
583,-73,,-98,-103
584,-73.6,,-98,-103
585,-72.4,,-98,-103
586,-72.2,,-98,-103
587,-73.4,,-98,-103
588,-71.5,,-98,-103
589,-74.7,,-98,-103
590,-71.9,,-98,-103
591,-72.8,,-98,-103
592,-73.1,,-98,-103
593,-72.8,,-98,-103
594,-73.6,,-98,-103
595,-69.2,,-98,-103
596,-72.9,,-98,-103
597,-74,,-98,-103
598,-72.9,,-98,-103
599,-72.3,,-98,-103
600,-74.6,,-98,-103
601,-76.9,,-98,-103
602,-73.5,,-98,-103
603,-72.1,,-98,-103
604,-73.3,,-98,-103
605,-73.1,,-98,-103
606,-70.5,,-98,-103
607,-70.7,,-98,-103
608,-76.2,,-98,-103
609,-74.7,,-98,-103
610,-73.2,,-98,-103
611,-73.1,,-98,-103
612,-74.3,,-98,-103
613,-74.8,,-98,-103
614,-77.1,,-98,-103
615,-72.3,,-98,-103
616,-72.7,,-98,-103
617,-72,,-98,-103
618,-76.1,,-98,-103
619,-75.9,,-98,-103
620,-76.1,,-98,-103
621,-80.3,,-98,-103
622,-76.7,,-98,-103
623,-77.9,,-98,-103
624,-77.8,,-98,-103
625,-77.2,,-98,-103
626,-74.1,,-98,-103
627,-74.9,,-98,-103
628,-76.7,,-98,-103
629,-74.4,,-98,-103
630,-73.7,,-98,-103
631,-72.4,,-98,-103
632,-74.4,,-98,-103
633,-75.9,,-98,-103
634,-74.2,,-98,-103
635,-71.1,,-98,-103
636,-70.4,,-98,-103
637,-71.5,,-98,-103
638,-69.9,,-98,-103
639,-72.3,,-98,-103
640,-72.9,,-98,-103
641,-74.7,,-98,-103
642,-74.9,,-98,-103
643,-71.2,,-98,-103
644,-71.4,,-98,-103
645,-75,,-98,-103
646,-71.1,,-98,-103
647,-69.1,,-98,-103
648,-68.2,,-98,-103
649,-67.9,,-98,-103
650,-68.7,,-98,-103
651,-68,,-98,-103
652,-64.5,,-98,-103
653,-64,,-98,-103
654,-66.6,,-97.6,-103
655,-73.2,,-85.2,-103
656,-79.5,,-81.5,-101.5
657,-78.6,,-76.6,-98.6
658,-78.6,,-76.3,-89.2
659,-79.55,,-75.8,-95.4
660,-83.25,,-75.6,-100.55
661,-93.95,,-74.75,-96
662,-86.6,,-78.8,-95.6
663,-82,,-76.2,-92
664,-80.4,,-80.8,-87.8
665,-90.2,,-81.4,-91.4
666,-89.8,,-79.6,-97.2
667,-94.4,,-77.2,-92
668,-89.6,,-77.2,-81.6
669,-88.6,,-78,-98.8
670,-85.4,,-76,-98.4
671,-85.6,,-77.6,-95.2
672,-101.4,,-93.2,-95.4
673,-101,,-102.2,-87.2
674,-101,,-102,-88.8
675,-102.8,,-101.6,-97.4
676,-104,,-94,-98
677,-104,,-93.8,-85.6
678,-104,,-101.2,-91.4
679,-102.2,,-98.75,-86.6
680,-101.95,,-98.2,-88.8
681,-103,,-96.45,-86.65
682,-103,,-94.3,-96.7
683,-103,,-91.7,-100.35
684,-103,,-91.95,-100
685,-103,,-93.55,-99.7
686,-103.65,,-91.15,-90.9
687,-104,,-92.55,-90.65
688,-104,,-92,-87.25
689,-104,,-92,-97
690,-104,,-92,-92.7
691,-104,,-92,-90.7
692,-104,,-94.7,-90.3
693,-104,,-98.2,-97.6
694,-104,,-100.2,-97.7
695,-104,,-100.55,-90.85
696,-104,,-101.85,-90.95
697,-104,,-102,-93.9
698,-104,,-102,-95.7
699,-104,,-102,-86.4
700,-104,,-102,-94
701,-104,,-101.9,-90
702,-99.45,,-96,-87.95
703,-95.3,,-96,-86.8
704,-93.75,,-96,-84.75
705,-91.7,,-95.35,-86.2
706,-92,,-95.1,-88.85
707,-92,,-98.9,-92.9
708,-92,,-98.35,-89.8
709,-92,,-98.95,-99.4
710,-92,,-100.15,-90.1
711,-96.25,,-103.7,-89.9
712,-101,,-98,-91.85
713,-101,,-98,-92.9
714,-101,,-99.5,-95.35
715,-101,,-98.9,-96.25
716,-101,,-98,-96.4
717,-101,,-98,-96.85
718,-101,,-98,-96.5
719,-101,,-98,-94.45
720,-101,,-99.75,-92.8
721,-101,,-105,-96.15
722,-101,,-105,-94.45
723,-101,,-105,-93.5
724,-101,,-103.5,-96.05
725,-101,,-99,-103.15
726,-101,,-99,-102.8
727,-101.9,,-98.15,-93.4
728,-103,,-94.6,-83.25
729,-103,,-92.25,-89.7
730,-100.75,,-92.25,-87.5
731,-94,,-96,-91.25
732,-94,,-100.35,-97.05
733,-94,,-99.55,-93.75
734,-94,,-98.2,-88.8
735,-94,,-102,-79.8
736,-94,,-102,-80.6
737,-94,,-102,-90.85
738,-94,,-102,-92.7
739,-94,,-102,-88.9
740,-94,,-102,-91.95
741,-94,,-102,-89.6
742,-94,,-102,-88.5
743,-94,,-102,-87.6
744,-94,,-102,-87.3
745,-94,,-102,-91.4
746,-94,,-102,-92.1
747,-94,,-102,-90.1
748,-94,,-102,-90.25
749,-94,,-102,-90.5
750,-94,,-102,-89.6
751,-94,,-102,-90.95
752,-94,,-102,-91.2
753,-94,,-102,-91.95
754,-94,,-102,-82.8
755,-94,,-102,-82.95
756,-94,,-96.8,-88.95
757,-94,,-99,-92.3
758,-94,,-98,-94.05
759,-94,,-98,-95.9
760,-94,,-98,-89.4
761,-94,,-98,-83.65
762,-94,,-98,-82.15
763,-94,,-98,-86.7
764,-94,,-98,-86.9
765,-94,,-96.1,-86
766,-94,,-97.05,-86.6
767,-94,,-97.85,-86.65
768,-94,,-97.1,-86.15
769,-94,,-99.45,-86.85
770,-94,,-95.95,-86.55
771,-94,,-99.4,-86.25
772,-94,,-95.85,-86.35
773,-94,,-97.3,-86.65
774,-94,,-95,-86.8
775,-94,,-95.65,-86.6
776,-94,,-95.95,-87.4
777,-94,,-95.45,-87
778,-94,,-98.15,-87.25
779,-94,,-96.25,-86.5
780,-94,,-97.75,-86
781,-94,,-97.55,-86.1
782,-94,,-98.45,-88.65
783,-94,,-97,-90.7
784,-94,,-97,-93.6
785,-94,,-97,-94.2
786,-94,,-97,-91.15
787,-94,,-97,-92.4
788,-97.5,,-97,-92.05
789,-104,,-97,-87.3
790,-104,,-97,-87.2
791,-104,,-97,-88.9
792,-104,,-96.85,-96.55
793,-104,,-98.45,-86.45
794,-104,,-97.35,-85.7
795,-104,,-97.5,-84.95
796,-104,,-97.1,-84.6
797,-103.05,,-97.7,-85.4
798,-103,,-97.5,-87.75
799,-103,,-98.1,-85.2
800,-103,,-101.4,-87
801,-103,,-102,-90.75
802,-100.45,,-102,-87.75
803,-100,,-102,-91.35
804,-100,,-102,-95.4
805,-100,,-102,-95.65
806,-100,,-101.1,-97.4
807,-100,,-100,-97.65
808,-100,,-100,-97.8
809,-100,,-100,-98
810,-100,,-100,-97.85
811,-100,,-100,-97.95
812,-100,,-100,-97.75
813,-100,,-100,-97.65
814,-100,,-100,-97.6
815,-100,,-100,-97.8
816,-100,,-100,-97.8
817,-100,,-100,-98.4
818,-100,,-100,-98
819,-100,,-100,-98.2
820,-100,,-100,-98.2
821,-100,,-100,-97.85
822,-100,,-100.45,-92.85
823,-100,,-101,-90
824,-100,,-101,-94.5
825,-100,,-98.75,-93.05
826,-100,,-96,-87.2
827,-100,,-96.3,-88.75
828,-100,,-100.7,-95.55
829,-100,,-100,-92.8
830,-100,,-100,-92.65
831,-100,,-100,-92.8
832,-100,,-100,-93.35
833,-100,,-100,-93
834,-100,,-100,-92.6
835,-100,,-100.05,-92.9
836,-100,,-101,-89.35
837,-100,,-101,-90.1
838,-100,,-100,-92.6
839,-98.3,,-97.6,-89.65
840,-98.05,,-94.3,-93.2
841,-102.5,,-91.25,-87.9
842,-101,,-89.4,-99.45
843,-98.6,,-94.2,-99.1
844,-97,,-94.5,-90.9
845,-97,,-98.35,-83.85
846,-97,,-96.25,-89.75
847,-97,,-95.5,-88.65
848,-101.25,,-89.3,-84.5
849,-102,,-93.5,-84.45
850,-102,,-89.75,-88.55
851,-98.85,,-94.5,-98.15
852,-87.55,,-83.95,-95.1
853,-82.8,,-81.9,-100.75
854,-89.35,,-89.6,-96.2
855,-84.95,,-75.8,-95.05
856,-71.8,,-70.1,-80.95
857,-71.9,,-72.05,-85.4
858,-74.8,,-73.1,-91.6
859,-70,,-76.8,-92.6
860,-72,,-73.8,-90.6
861,-69.25,,-79.6,-90.6
862,-65.2,,-80.6,-98.6
863,-70.85,,-80,-94.45
864,-70.7,,-79.95,-96.35
865,-70.1,,-79.2,-93.95
866,-66.85,,-79.75,-91
867,-69.7,,-85.35,-94.85
868,-63.9,,-98.9,-102.85
869,-65.75,,-98.85,-105
870,-72.2,,-93,-99.3
871,-74.15,,-93,-99
872,-72,,-93,-99
873,-71.45,,-93,-99
874,-66.6,,-93,-93.75
875,-69.05,,-93,-99.25
876,-70.95,,-93,-99
877,-71.4,,-93,-99
878,-73.3,,-93,-99
879,-71.1,,-93,-99
880,-71.25,,-93,-99
881,-70.85,,-93,-99
882,-76.65,,-93,-99
883,-77,,-93,-99
884,-76.75,,-93,-99
885,-73.45,,-93,-99
886,-73.6,,-93,-99
887,-72.45,,-93,-99
888,-74.25,,-93,-99
889,-74.2,,-93,-99
890,-73.6,,-93,-99
891,-73.65,,-93,-99
892,-73.6,,-93,-99
893,-72.55,,-93,-99
894,-77.95,,-93,-99
895,-72.65,,-93,-99
896,-72.2,,-93,-99
897,-72.85,,-93,-99
898,-72,,-93,-99
899,-74.1,,-93,-99
900,-69.7,,-93,-99
901,-70.55,,-93,-99
902,-73.15,,-93,-99
903,-69.6,,-93,-99
904,-72.65,,-93,-99
905,-73.55,,-93,-99
906,-74.4,,-93,-99
907,-72,,-93,-99
908,-70.6,,-93,-99
909,-72.2,,-93,-99
910,-69.6,,-93,-99
911,-68.6,,-93,-99
912,-70.6,,-93,-99
913,-73.6,,-93,-99
914,-72.2,,-93,-99
915,-74.4,,-93,-99
916,-70.6,,-93,-99
917,-68.8,,-93,-99
918,-65.4,,-93,-99
919,-63.4,,-93,-99
920,-68.2,,-93,-99
921,-66.4,,-93,-99
922,-67.8,,-93,-99
923,-67.4,,-93,-99
924,-68,,-93,-99
925,-69.8,,-93,-100.2
926,-72.2,,-93,-105
927,-72.6,,-93,-105
928,-73.6,,-93,-105
929,-72.8,,-93,-105
930,-68.8,,-93,-105
931,-70.2,,-93,-105
932,-71.8,,-93,-105
933,-72.8,,-93,-105
934,-72.2,,-93,-105
935,-72.6,,-93,-105
936,-70,,-93,-105
937,-71,,-93,-105
938,-73.4,,-93,-105
939,-70,,-93,-105
940,-74.4,,-93,-105
941,-71.2,,-93,-105
942,-72.8,,-93,-105
943,-65.6,,-93,-105
944,-66.8,,-93,-105
